Column Number	R Name	Excel Export Name from survey gizmo	R column name from csv import	Column name from csv export from survey gizmo
210	MNA6Q5	Responding to action alerts from advocacy groups:MNA6	Responding.to.action.alerts.from.advocacy.groups.MNA6	Responding to action alerts from advocacy groups:MNA6
211	MNA6Q6	"Lobbying for legislation or policy initiatives at the local, state or federal level:MNA6"	Lobbying.for.legislation.or.policy.initiatives.at.the.local..state.or.federal.level.MNA6	"Lobbying for legislation or policy initiatives at the local, state or federal level:MNA6"
212	MNA6Q7	Proposing state or federal legislation:MNA6	Proposing.state.or.federal.legislation.MNA6	Proposing state or federal legislation:MNA6
213	MNA6QO	Other - Write In:MNA6	Other...Write.In.MNA6	Other - Write In:MNA6
214	MNA6QO1	Other - Write In:MNA6	Other...Write.In.MNA6.1	Other - Write In:MNA6
215	MNA5	MNA5	MNA5	MNA5
216	TXA1	TXA1	TXA1	TXA1
217	GAA1Q1	Program start-up assistance:GAA1	Program.start.up.assistance.GAA1	Program start-up assistance:GAA1
218	GAA1Q2	Program consultation / technical assistance:GAA1	Program.consultation...technical.assistance.GAA1	Program consultation / technical assistance:GAA1
219	GAA1Q3	Training:GAA1	Training.GAA1	Training:GAA1
220	GAA1Q4	Grants / financial awards:GAA1	Grants...financial.awards.GAA1	Grants / financial awards:GAA1
221	GAA1Q5	Sharing funding opportunities:GAA1	Sharing.funding.opportunities.GAA1	Sharing funding opportunities:GAA1
222	GAA1Q6	Cultural competency and inclusion resources:GAA1	Cultural.competency.and.inclusion.resources.GAA1	Cultural competency and inclusion resources:GAA1
223	GAA1Q7	Match activities:GAA1	Match.activities.GAA1	Match activities:GAA1
224	GAA1Q8	Government advocacy:GAA1	Government.advocacy.GAA1	Government advocacy:GAA1
225	GAA1Q9	Public awareness / mentor recruitment campaigns:GAA1	Public.awareness...mentor.recruitment.campaigns.GAA1	Public awareness / mentor recruitment campaigns:GAA1
226	GAA1Q10	"Partnership development (e.g., businesses, schools, legislators):GAA1"	Partnership.development..e.g...businesses..schools..legislators..GAA1	"Partnership development (e.g., businesses, schools, legislators):GAA1"
227	GAA1Q11	Research on youth mentoring:GAA1	Research.on.youth.mentoring.GAA1	Research on youth mentoring:GAA1
228	GAA1Q12	Data from a scan / landscape analysis of mentoring organizations in Georgia:GAA1	Data.from.a.scan...landscape.analysis.of.mentoring.organizations.in.Georgia.GAA1	Data from a scan / landscape analysis of mentoring organizations in Georgia:GAA1
229	GAA1Q13	Networking:GAA1	Networking.GAA1	Networking:GAA1
230	GAA1QO	Other - Write In (Required):GAA1	Other...Write.In..Required..GAA1	Other - Write In (Required):GAA1
231	GAA1QO1	Other - Write In (Required):GAA1	Other...Write.In..Required..GAA1.1	Other - Write In (Required):GAA1
232	GAA2Q1	For the Board:GAA2	For.the.Board.GAA2	For the Board:GAA2
233	GAA2Q2	For paid staff:GAA2	For.paid.staff.GAA2	For paid staff:GAA2
234	GAA2Q3	For mentors:GAA2	For.mentors.GAA2	For mentors:GAA2
235	GAA3Q1	On our board:GAA3	On.our.board.GAA3	On our board:GAA3
236	GAA3Q2	Within our staff:GAA3	Within.our.staff.GAA3	Within our staff:GAA3
237	GAA3Q3	Within our mentors:GAA3	Within.our.mentors.GAA3	Within our mentors:GAA3
